偽錫泣恫炎才偽已�鯀� x, y, z, i, j, k 、紗堀業 a
73.574592, -34.951128, 113.159473, -0.003679, 0.936216, 0.000000、256.896678
73.551663, -34.948200, 113.163675, -0.003146, 0.936140, 0.000000、257.605617
73.528481, -34.945234, 113.167920, -0.002607, 0.936062, 0.000000、258.325085
73.505047, -34.942230, 113.172207, -0.002064, 0.935983, 0.000000、258.994849
73.481359, -34.939188, 113.176537, -0.001515, 0.935903, 0.000000、259.621511
73.457418, -34.936107, 113.180908, -0.000960, 0.935822, 0.000000、260.210184
73.433222, -34.932987, 113.185322, -0.000401, 0.935739, 0.000000、260.761143
73.408771, -34.929827, 113.189778, 0.000164, 0.935655, 0.000000、261.274698
73.384065, -34.926629, 113.194277, 0.000734, 0.935569, 0.000000、261.751215
73.359103, -34.923390, 113.198818, 0.001309, 0.935482, 0.000000、262.191124
73.333884, -34.920112, 113.203401, 0.001890, 0.935394, 0.000000、262.594914
73.308409, -34.916794, 113.208026, 0.002475, 0.935304, 0.000000、262.963138
73.282678, -34.913435, 113.212694, 0.003066, 0.935212, 0.000000、263.296410
73.256689, -34.910036, 113.217404, 0.003662, 0.935119, 0.000000、263.595408
73.230443, -34.906596, 113.222156, 0.004264, 0.935025, 0.000000、263.860872
73.203939, -34.903115, 113.226950, 0.004870, 0.934929, 0.000000、264.093607
73.177177, -34.899592, 113.231787, 0.005481, 0.934831, 0.000000、264.294484
73.150158, -34.896029, 113.236666, 0.006098, 0.934732, 0.000000、264.464435
73.122880, -34.892424, 113.241587, 0.006720, 0.934632, 0.000000、264.604459
73.095344, -34.888776, 113.246550, 0.007347, 0.934529, 0.000000、264.715619
73.067551, -34.885087, 113.251555, 0.007979, 0.934426, 0.000000、264.799043
73.039499, -34.881356, 113.256602, 0.008616, 0.934320, 0.000000、264.855922
73.011188, -34.877582, 113.261692, 0.009258, 0.934213, 0.000000、264.887513
72.982620, -34.873766, 113.266823, 0.009905, 0.934104, 0.000000、264.895138
72.953793, -34.869907, 113.271996, 0.010557, 0.933994, 0.000000、264.880183
72.924708, -34.866005, 113.277211, 0.011214, 0.933882, 0.000000、264.844095
72.895365, -34.862060, 113.282468, 0.011876, 0.933768, 0.000000、264.788389
72.865764, -34.858071, 113.287766, 0.012543, 0.933653, 0.000000、264.714639
72.835905, -34.854039, 113.293107, 0.013214, 0.933536, 0.000000、264.624485
72.805789, -34.849963, 113.298489, 0.013891, 0.933417, 0.000000、264.519626
72.775415, -34.845843, 113.303912, 0.014572, 0.933296, 0.000000、264.401826
72.744783, -34.841680, 113.309377, 0.015259, 0.933173, 0.000000、264.272907
72.713895, -34.837472, 113.314884, 0.015950, 0.933049, 0.000000、264.134755
72.682749, -34.833219, 113.320433, 0.016645, 0.932923, 0.000000、263.989313
72.651346, -34.828922, 113.326023, 0.017346, 0.932795, 0.000000、263.838586
72.619687, -34.824581, 113.331654, 0.018051, 0.932665, 0.000000、263.684634
